symbol,formula,MolMassCSH,MolVolCSH,G0(CSH)ic,G0(CSH)dc,H0(CSH),Hmix(CSH),Cp0(CSH),,,,,,,,,,,,,,,,remaining O,remaining O,remaining H,,,,
CSH072,Ca2.1124Si2.9234O11.0717H6.225,0.35018314,13.882576,-4688.2309,-4688.2309,-5078.3457,-3.0562343,348.65586,,,,,,,,,,,,,(SiO2)2.923449,5.224828,(Ca(OH)2)2.112414,6.846898,1,1.9999996,,(H2O)5.224828,(CaH2)2.112414,0.999999600000001
CSH067,Ca2.0081Si2.9875O10.9913H6.0164,0.34630449,13.841637,-4644.7402,-4644.7402,-5029.3895,-0.37296678,347.654,,,,,,,,,,,,,,,,,,,,,,
CSH071,Ca2.0796Si2.9392O11.0377H6.1594,0.34870104,13.861307,-4671.0028,-4671.0028,-5059.0149,-2.3427488,348.13746,,,,,,,,,,,,,,,,,,,,,,
CSH080,Ca2.27Si2.836O11.212H6.54,0.35660448,13.958616,-4759.8985,-4759.8985,-5159.9417,-5.9889628,350.51205,,,,,,,,,,,,,,,,,,,,,,
CSH090,Ca2.4418Si2.7209O11.3245H6.8818,0.36240148,13.997433,-4818.738,-4818.738,-5229.178,-8.0516639,351.46622,,,,,,,,,,,,,,,,,,,,,,
CSH099,Ca2.5847Si2.6048O11.359H7.1294,0.36567202,13.983039,-4843.9875,-4843.9875,-5261.1023,-8.6976842,351.12746,,,,,,,,,,,,,,,,,,,,,,
CSH109,Ca2.7098Si2.4942O11.3055H7.2146,0.36680605,13.920751,-4841.4836,-4841.4836,-5260.112,-8.6427748,349.6278,,,,,,,,,,,,,,,,,,,,,,
CSH118,Ca2.8262Si2.3923O11.2173H7.213,0.36719672,13.84806,-4829.8828,-4829.8828,-5247.6605,-8.3972893,347.87632,,,,,,,,,,,,,,,,,,,,,,
CSH128,Ca2.9351Si2.299O11.1257H7.1852,0.36744606,13.766466,-4817.3438,-4817.3438,-5234.0455,-8.0206194,345.90957,,,,,,,,,,,,,,,,,,,,,,
CSH137,Ca3.0374Si2.2141O11.0412H7.1512,0.36777887,13.685316,-4806.8403,-4806.8403,-5222.7575,-7.5300425,343.95376,,,,,,,,,,,,,,,,,,,,,,
CSH147,Ca3.1349Si2.138O10.9704H7.119,0.36838213,13.643179,-4800.7219,-4800.7219,-5215.709,-6.9519631,342.94169,,,,,,,,,,,,,,,,,,,,,,
CSH156,Ca3.2302Si2.0721O10.9232H7.0976,0.36957412,13.698858,-4803.2477,-4803.2477,-5216.1968,-6.3209642,344.29405,,,,,,,,,,,,,,,,,,,,,,
CSH165,Ca3.3299Si2.0228O10.9268H7.1026,0.3722482,13.791084,-4826.2007,-4826.2007,-5239.5563,-5.6903924,346.5356,,,,,,,,,,,,,,,,,,,,,,
CSH172,Ca3.4396Si2.0027O11.0261H7.1622,0.37772719,13.99027,-4887.7054,-4887.7054,-5305.0107,-5.1328216,351.37134,,,,,,,,,,,,,,,,,,,,,,
CSH177,Ca3.5345Si2.0002O11.1588H7.2478,0.38367168,14.210291,-4957.9339,-4957.9339,-5380.4823,-4.6587861,356.71103,,,,,,,,,,,,,,,,,,,,,,
CSH180,Ca3.6024Si2O11.2635H7.3222,0.38813943,14.376024,-5010.9965,-5010.9965,-5437.851,-4.2704825,360.73259,,,,,,,,,,,,,,,,,,,,,,
CSH183,Ca3.6503Si2O11.3413H7.382,0.39136433,14.495685,-5049.3205,-5049.3205,-5479.4935,-3.9626049,363.63595,,,,,,,,,,,,,,,,,,,,,,
CSH184,Ca3.6853Si2O11.4004H7.4302,0.39375899,14.584547,-5077.7839,-5077.7839,-5510.5404,-3.7155973,365.79185,,,,,,,,,,,,,,,,,,,,,,
CSH186,Ca3.7119Si2O11.4467H7.4696,0.39560589,14.653088,-5099.7382,-5099.7382,-5534.5553,-3.5123745,367.45458,,,,,,,,,,,,,,,,,,,,,,
CSH187,Ca3.7329Si2O11.4841H7.5024,0.39708035,14.707814,-5117.2652,-5117.2652,-5553.7629,-3.341018,368.78194,,,,,,,,,,,,,,,,,,,,,,
CSH188,Ca3.7501Si2O11.5151H7.53,0.39829333,14.752837,-5131.683,-5131.683,-5569.5869,-3.1933359,369.87386,,,,,,,,,,,,,,,,,,,,,,
CSH080+N0000,Ca2.2698Si2.8359Na0.0003O11.2118H6.5401,0.35659857,13.853341,-4759.8291,-4759.8291,-5161.384,-5.9890427,347.93181,,,,,,,,,,,,,,,,,,,,,,
CSH080+N0008,Ca2.2555Si2.8327Na0.0233O11.1996H6.5341,0.35626184,13.840386,-4754.2577,-4754.2577,-5155.3831,-5.9990658,347.61915,,,,,,,,,,,,,,,,,,,,,,
CSH078+N0046,Ca2.1905Si2.8181Na0.1294O11.1465H6.5102,0.35480992,13.796792,-4729.3159,-4729.3159,-5128.3802,-6.0385247,346.59114,,,,,,,,,,,,,,,,,,,,,,
CSH074+N0112,Ca2.0833Si2.8003Na0.3146O11.0819H6.4814,0.35321204,13.649057,-4697.5942,-4697.5942,-5096.7321,-6.0228137,343.01729,,,,,,,,,,,,,,,,,,,,,,
CSH073+N0142,Ca2.0415Si2.8002Na0.3983O11.0817H6.4813,0.3534554,13.546863,-4695.9277,-4695.9277,-5096.9814,-5.939446,340.53935,,,,,,,,,,,,,,,,,,,,,,
CSH099+N0000,Ca2.5847Si2.6048Na0.0001O11.3589H7.1291,0.3656715,13.588802,-4843.9827,-4843.9827,-5266.9972,-8.6976272,341.46886,,,,,,,,,,,,,,,,,,,,,,
CSH099+N0004,Ca2.5781Si2.603Na0.0093O11.3512H7.1249,0.36543928,13.584815,-4840.5018,-4840.5018,-5263.146,-8.6754575,341.373,,,,,,,,,,,,,,,,,,,,,,
CSH098+N0027,Ca2.5339Si2.5911Na0.0711O11.2994H7.0955,0.3638992,13.560748,-4816.9786,-4816.9786,-5237.4413,-8.5247453,340.79546,,,,,,,,,,,,,,,,,,,,,,
CSH094+N0092,Ca2.4177Si2.56Na0.2353O11.1657H7.0207,0.35992541,13.488214,-4755.3008,-4755.3008,-5170.9925,-8.1122805,339.05183,,,,,,,,,,,,,,,,,,,,,,
CSH092+N0144,Ca2.327Si2.5366Na0.3652O11.0653H6.965,0.35695837,13.401467,-4708.5721,-4708.5721,-5121.1665,-7.768157,336.9596,,,,,,,,,,,,,,,,,,,,,,
CSH118+N0000,Ca2.826Si2.3921Na0.0005O11.2169H7.2129,0.36718601,13.600987,-4829.7098,-4829.7098,-5251.8095,-8.3953979,341.84399,,,,,,,,,,,,,,,,,,,,,,
CSH118+N0002,Ca2.8222Si2.392Na0.0046O11.2138H7.2106,0.36707496,13.596885,-4828.1661,-4828.1661,-5250.1337,-8.3840003,341.74402,,,,,,,,,,,,,,,,,,,,,,
CSH117+N0017,Ca2.7921Si2.3881Na0.0412O11.184H7.1902,0.36610371,13.560978,-4814.0043,-4814.0043,-5234.9014,-8.2731737,340.87013,,,,,,,,,,,,,,,,,,,,,,
CSH114+N0069,Ca2.7001Si2.3695Na0.1624O11.0817H7.1228,0.36297819,13.445607,-4766.7874,-4766.7874,-5184.3029,-7.8861364,338.05603,,,,,,,,,,,,,,,,,,,,,,
CSH111+N0118,Ca2.6154Si2.351Na0.2786O10.9854H7.0574,0.3601241,13.339853,-4722.8249,-4722.8249,-5137.85,-7.5098607,335.49033,,,,,,,,,,,,,,,,,,,,,,
CSH156+N0000,Ca3.2306Si2.0717Na0.0002O10.9229H7.0976,0.36958053,13.687515,-4803.2502,-4803.2502,-5216.5283,-6.31636,344.02164,,,,,,,,,,,,,,,,,,,,,,
CSH156+N0001,Ca3.2283Si2.0722Na0.0019O10.9219H7.0965,0.36952481,13.701342,-4802.5919,-4802.5919,-5215.3176,-6.3172392,344.35268,,,,,,,,,,,,,,,,,,,,,,
CSH155+N0009,Ca3.2096Si2.0745Na0.0184O10.9123H7.089,0.36905634,13.668018,-4796.5945,-4796.5945,-5209.3808,-6.3023718,343.54955,,,,,,,,,,,,,,,,,,,,,,
CSH152+N0040,Ca3.152Si2.0733Na0.0836O10.8695H7.0582,0.36749938,13.644796,-4774.2735,-4774.2735,-5183.3348,-6.1347992,342.94773,,,,,,,,,,,,,,,,,,,,,,
CSH150+N0074,Ca3.0981Si2.0683Na0.1522O10.8237H7.0258,0.36600927,13.591326,-4751.7375,-4751.7375,-5159.1949,-5.9189879,341.65408,,,,,,,,,,,,,,,,,,,,,,
