Symbol,Atomic Number,Default Valence,DfGm [kJ/mol],DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
Al,89,3,0,0,28.3,,24.2,
Am,95,3,0,0,55.4,,,
As,33,5,0,0,35.1,,24.64,
B,5,3,0,0,5.9,,11.087,
Ba,56,2,0,0,62.42,,,
Br,35,-1,0,0,76.105,,37.845,
C,6,4,0,0,5.74,,8.517,
Ca,20,2,0,0,41.59,,25.929,
Cl,17,-1,0,0,111.54,,16.974,
Cm,96,3,0,0,70.8,,,
Cs,55,1,0,0,85.23,,32.21,
Cu,29,2,0,0,33.15,,24.44,
E,0,-1,0,0,0,,0,
Eu,63,3,0,0,77.8,,27.65,
F,9,-1,0,0,101.395,,15.652,
Fe,26,2,0,0,27.085,,25.084,
H,1,1,0,0,65.34,,14.418,
I,53,-1,0,0,58.07,,27.219,
K,19,1,0,0,64.68,,29.6,
Li,3,1,0,0,29.12,,24.86,
Mg,12,2,0,0,32.67,,24.869,
Mn,25,2,0,0,32.01,,26.32,
Mo,42,6,0,0,28.581,,24.06,
N,7,5,0,0,95.805,,14.562,
Na,11,1,0,0,51.3,,28.23,
Nb,41,5,0,0,36.4,,24.6,
Ni,28,2,0,0,29.87,,26.07,
Np,93,6,0,0,50.46,,29.62,
O,8,-2,0,0,102.576,,14.689,
P,15,5,0,0,41.09,,23.824,
Pd,46,2,0,0,37.8,,25.9,
Pu,94,6,0,0,54.46,,31.49,
Ra,88,2,0,0,71,,,
S,16,6,0,0,32.054,,22.75,
Se,34,4,0,0,42.09,,25.09,
Si,14,4,0,0,18.81,,19.789,
Sn,50,2,0,0,51.18,,27.11,
Sr,38,2,0,0,55.7,,,
Tc,43,7,0,0,32.5,,24.9,
Th,90,4,0,0,52.64,,26.23,
U,92,6,0,0,50.2,,27.66,
Zr,40,4,0,0,39.08,,26.08,
Zn,30,2,0,0,41.63,0.15,25.39,0.04
Cd,48,2,0,0,51.8,0.15,26.02,0.04
Cf,98,3,0,0,81,5,,
Pa,46,5,0,0,51.6,0.8,28.2,0.4
Ti,22,4,0,0,30.72,,,
Ac,89,3,0,0,61.9,,26,
Ag,47,1,0,0,42.55,,25.35,
Po,84,4,0,0,62.8,,,
Pb,82,2,0,0,64.8,0.3,26.65,0.1
Hg,80,2,0,0,75.9,,,
Sm,62,3,0,0,69.64,,29.53,
Ho,67,3,0,0,75.76,,27.15,
Zz,0,0,0,0,-65.34,,-14.418,